round,loss,accuracy
0,2.376628824427158,0.0998
1,3.5973999922788598,0.1853
2,5.444422788257841,0.2044
3,2.979575229596488,0.2127
4,2.7567617259448087,0.105
5,4.327942688253861,0.1001
6,2.610526456108576,0.2028
7,2.302882719643508,0.2335
8,2.864372141753571,0.1094
9,2.3788247953487347,0.2526
10,2.473817342444311,0.2321
11,2.09681939475144,0.2199
12,2.4875977763646766,0.1176
13,2.4692174407500254,0.1892
14,2.200471696974356,0.2933
15,2.2602302243437946,0.3313
