round,loss,accuracy
0,2.664757979067066,0.1
1,3.658237043815323,0.1
2,3.3537203933619244,0.2114
3,3.995879396607604,0.1547
4,3.253396969807299,0.204
5,2.4877005785326416,0.1912
6,2.5220794888991342,0.2465
7,2.164369184759599,0.3031
8,2.221782208997992,0.2102
9,2.2747434438029424,0.2612
10,2.2704399431808087,0.2417
11,2.280307022831108,0.336
12,1.9797267129149618,0.257
13,2.032519613640218,0.3176
14,2.199331710610209,0.2572
15,2.189452239229709,0.1912
